CollectorVerbatim	Standarized_Collector
Campos-Alba, C.	Campos-Alba, C.
Campos, E.	Campos, E.
Campos, S.	Campos, S.
Cañaveras, A.	Cañaveras, A.
Cano, W.	Cano, W.
Cárdenas-A., G.	Cárdenas-A., G.
Cárdenas-C., E.	Cárdenas-C., E.
Cárdenas, F.	Cárdenas, F.
Cárdenas, M.	Cárdenas, M.
Cardiel, J. M.	Cardiel, J.M.
Cardiel, J.M.	Cardiel, J.M.
Cardozo, H.	Cardozo, Hernán
Cardozo, Hernán	Cardozo, Hernán
Carreño, B.D.	Carreño, B.D.
Carrillo, C.R.	Carrillo, C.R.
Carrillo, Juan	Carrillo, Juan
Carrillo, S.	Carrillo, S.
Carrillo, Y.	Carrillo, Y.
Carvajal, L.	Carvajal, L.
Carvajalino, E.	Carvajalino, E.
Casallas, M.	Casallas, M.
Casas A.C.	Casas A.C.
Casasfranco, J.	Casasfranco, J.
Castañeda-G., Sandra L.	Castañeda-G., Sandra Liliana
Castañeda-Torres	Castañeda-Torres
Castañeda, N.	Castañeda, N.
Castañeda, Sandra Liliana	Castañeda-G., Sandra Liliana
Castañeda, Y.	Castañeda, Y.
Castaño-Rubiano, Natalia	Castaño-Rubiano, Natalia
Castellanos-M., C.A.	Castellanos-M., C.A.
Castellanos, C.	Castellanos-M., C.A.
Castellanos, J.D.	Castellanos, J.D.
Castellos, J.	Castellos, J.
Castillo, C.	Castillo, C.
Castillo, R.	Castillo, R.
Castrillón, C.A.	Castrillón, C.A.
Castro-Díaz, S.L.	Castro-Díaz, S.L.
Castro, A.	Castro, A.
Castro, J.	Castro, J.
Castro, M	Castro, M
Castro, S.	Castro-Díaz, S.L.
Castro, S.L.	Castro-Díaz, S.L.
Caycedo, J.	Caycedo, J.
CB	CB
Cely, A.	Cely, A.
Cepeda, P.	Cepeda, P.
Cervera, L.	Cervera, L.
Céspedes	Céspedes
Céspedes, K.	Céspedes, K.
Chacón, D.	Chacón, D.
Chacón, I.C.	Chacón, I.C.
Chad	Chad
Chamorro-M., R.	Chamorro-M., R.
Chaparro	Chaparro
Chaparro-Herrera, Sergio	Chaparro-Herrera, Sergio
Chaparro-R., Á.	Chaparro-R., Á.
Chaparro, B.	Chaparro, B.
Chaparro, H.	Chaparro, H.
Chaparro, J.	Chaparro, J.
Chaparro, M.L.	Chaparro, M.L.
Charry, V.	Charry, V.
Chiriboga, M.	Chiriboga, M.
Clark, L.G.	Clark, L.G.
Cleef, A.M.	Cleef, A.M.
Cogollo-Calderón, Angélica	Cogollo-Calderón, Angélica
Cogollo, Angélica	Cogollo-Calderón, Angélica
Cómbita, S.	Cómbita, S.
Concha, J.	Concha, J.
Contreras-Herrera, J.L.	Contreras-Herrera, J.L.
Contreras, M.	Contreras, M.
Contreras, N.	Contreras, N.
Coral, C. de	Coral, C. de
Cordero, L.	Cordero, L.
Cordoba, J.M.	Cordoba, J.M.
Core, E.L.	Core, E.L.
Correa-M., A.	Correa-Moya, A.
Correa, G.	Correa, G.
Correa, L.M.	Correa, L.M.
Corredor-A., F.E.	Corredor-A., F.E.
Corredor, C. de	Corredor, C. de
Corredor, L.M.	Corredor, L.M.
Corredor, S.	Corredor, S.
Corso-M., A.	Corso-M., A.
Cortés-B., R.	Cortés-B., Rocío
Cortés-Ballén, Lorena Andrea	Cortés-Ballén, Lorena Andrea
Cortés-S., S.P.	Cortés-Sánchez, Sandra Pilar
Cortés-S., Sandra P.	Cortés-Sánchez, Sandra Pilar
Cortés-S., Sandra Pilar	Cortés-Sánchez, Sandra Pilar
Cortés, G.	Cortés, G.
Cortés, H.	Cortés, H.
Cortés, Pilar	Cortés-Sánchez, Sandra Pilar
Cortés, S.	Cortés-Sánchez, Sandra Pilar
