CollectorVerbatim	Standarized_Collector
Waldrón, T.	Waldrón, T.
Weaver, R.E.	Weaver, R.E.
Wijninga, V.M.	Wijninga, V.M.
Williams, Ll.	Williams, Ll.
Winkler, S.	Winkler, S.
Wood, J.	Wood, J.R.I.
Wood, J.R.I.	Wood, J.R.I.
Woronow, G.J.	Woronow, G.J.
Yann-Olivier, H.	Yann-Olivier, H.
Yepes-Agredo, S.	Yepes-Agredo, S.
Yepes, M.	Yepes, M.
Yepez, F.	Yepez, F.
Yusti-Muñoz, A.P.	Yusti-Muñoz, A.P.
Zabaleta, Ángela	Zabaleta, Ángela
Zabaleta, I. de	Zabaleta, I. de
Zambrano, G.	Zambrano, G.
Zapata-Vásquez, J.V.	Zapata-Vásquez, J.V.
Zapata, F.	Zapata, F.
Zapata, S.	Zapata, S.
Zárate, C.	Zárate, C.
Zarucchi, J.L.	Zarucchi, J.L.
Zucolotto, S.	Zucolotto, S.
Zuluaga-C., Juliana	Zuluaga-C., Juliana
Zuluaga-R., S.	Zuluaga-R., S.
Zulueta, I. de	Zulueta, I. de
Zúñiga, A.M.	Zúñiga, A.M.
